,Município,Total Investido,IDEB - 4 e 5,IDEB - 8 e 9
123,SERIDO,7622531.460000005,,
124,BARRA DE SAO MIGUEL,6333203.060000004,4.9,4.1
125,ITATUBA,7598143.729999994,3.9,3.6
126,PEDRA LAVRADA,7789979.320000003,5.4,4.7
127,CAPIM,6986820.379999996,3.5,4.3
128,SANTA HELENA,5767424.869999999,6,4.9
129,MATUREIA,7422917.409999997,4.8,3.5
130,GADO BRAVO,10829313.770000009,5.5,3.3
131,TACIMA,8287252.399999998,4.6,4.1
132,BELEM DO BREJO DO CRUZ,8608384.610000005,4.8,3.9
133,ARARA,8181901.109999993,4.3,2.9
134,RIACHO DOS CAVALOS,8159649.8,5,4.3
135,SAO SEBASTIAO DE LAGOA DE ROÇA,4259548.97,,
136,SAO JOSE DOS RAMOS,6432905.539999998,3.6,2.6
137,COREMAS,7597947.749999999,4.6,2.8
138,ITAPORANGA,8444578.629999999,4.5,3.5
139,POÇO DE JOSE DE MOURA,3552276.6200000006,,
140,MARIZOPOLIS,7735802.9799999995,4.1,3.7
141,MATARACA,7698088.220000003,3.7,2.4
142,BERNARDINO BATISTA,6574436.950000003,5.3,3.9
143,PAULISTA,9263898.620000003,5.2,4.3
144,SAO JOSE DE PIRANHAS,11187413.979999993,5.7,4.1
145,SOBRADO,8057379.280000003,5.2,3.6
146,SAO MAMEDE,7489052.519999998,5.6,4
147,CUITEGI,6666818.459999999,3.7,3.1
148,MASSARANDUBA,9962556.800000006,4.7,3.2
149,AGUA BRANCA,10036795.16,6.1,5.1
150,CUBATI,8409588.600000001,4.3,4
151,SANTA LUZIA,6891374.669999998,5.2,3.1
152,PRINCESA ISABEL,9070768.849999994,5.9,3.7
153,MARCAÇAO,4354886.199999999,,
154,UIRAUNA,8040128.600000004,4.2,3.2
155,ITABAIANA,7006173.470000002,3.7,2
156,PIANCO,8712174.130000003,4.2,3.1
157,BARRA DE SANTA ROSA,11299423.41999999,5.1,4
158,CUITE,11724437.350000003,5.8,3.6
159,BELEM,9294224.020000005,4.7,4
160,JACARAU,14498367.059999999,4.4,3.4
161,BREJO DO CRUZ,10313224.5,5.1,4.7
162,ITAPOROROCA,12475073.130000005,4.1,2.4
163,AROEIRAS,15847234.170000002,3.8,2.9
164,GURINHEM,12193364.26,3,2.6
