"Mês/Ano";"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 1.700,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"CUITEGI";"R$ 1.700,00";
"10/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"AREIA DE BARAÚNAS";"R$ 1.700,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"NOVA PALMEIRA";"R$ 1.710,00";
"10/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"FREI MARTINHO";"R$ 1.760,00";
"09/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"CACIMBA DE DENTRO";"R$ 1.760,00";
"07/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"IMACULADA";"R$ 1.770,00";
"10/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"AMPARO";"R$ 1.810,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"AMPARO";"R$ 1.810,00";
"10/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"SÃO FRANCISCO";"R$ 1.820,00";
"10/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"OLIVEDOS";"R$ 1.830,00";
"11/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"AGUIAR";"R$ 1.840,00";
"11/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"SERRA BRANCA";"R$ 1.840,00";
"09/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"SERRA GRANDE";"R$ 1.848,00";
"11/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"BELÉM DO BREJO DO CRUZ";"R$ 1.850,00";
"10/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"MÃE D'ÁGUA";"R$ 1.870,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"PRINCESA ISABEL";"R$ 1.920,00";
"10/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"PRINCESA ISABEL";"R$ 1.920,00";
"11/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"PICUÍ";"R$ 1.930,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"SOLÂNEA";"R$ 1.960,00";
"10/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"PB";"ZABELÊ";"R$ 1.970,00";
"12/2017";"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"PB";"CAIÇARA";"R$ 1.980,00";
